best_score,best_iter,seed,savename,batch_size,lr,dropout,depth,filter_size,n_filters,n_neurons,activation
0.8700060013717422,100,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 128, 'lr': 0.01, 'filter_size': 3, 'dropout': 0.8, 'depth': 2, 'batch_size': 128, 'activation': 'relu'}_seed=0.pth.tar",128,0.01,0.8,2,3,128,128,relu
0.8663592494611013,200,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 16, 'n_filters': 16, 'lr': 0.01, 'filter_size': 1, 'dropout': 0.4, 'depth': 1, 'batch_size': 32, 'activation': 'relu'}_seed=0.pth.tar",32,0.01,0.4,1,1,16,16,relu
0.8768432784636487,200,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 64, 'n_filters': 16, 'lr': 0.001, 'filter_size': 1, 'dropout': 0.8, 'depth': 2, 'batch_size': 128, 'activation': 'elu'}_seed=0.pth.tar",128,0.001,0.8,2,1,16,64,elu
0.878760043111895,800,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 16, 'lr': 0.0001, 'filter_size': 1, 'dropout': 0.4, 'depth': 1, 'batch_size': 16, 'activation': 'elu'}_seed=0.pth.tar",16,0.0001,0.4,1,1,16,128,elu
0.8807809131883206,200,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 16, 'n_filters': 64, 'lr': 0.001, 'filter_size': 1, 'dropout': 0.4, 'depth': 1, 'batch_size': 32, 'activation': 'elu'}_seed=0.pth.tar",32,0.001,0.4,1,1,64,16,elu
0.8838734567901234,1000,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 16, 'lr': 0.0001, 'filter_size': 4, 'dropout': 0.4, 'depth': 1, 'batch_size': 16, 'activation': 'relu'}_seed=0.pth.tar",16,0.0001,0.4,1,4,16,128,relu
0.8776944934352342,600,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 32, 'n_filters': 128, 'lr': 0.001, 'filter_size': 1, 'dropout': 0.8, 'depth': 1, 'batch_size': 16, 'activation': 'relu'}_seed=0.pth.tar",16,0.001,0.8,1,1,128,32,relu
0.8800460513423476,700,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 16, 'lr': 0.0001, 'filter_size': 2, 'dropout': 0.4, 'depth': 1, 'batch_size': 16, 'activation': 'relu'}_seed=0.pth.tar",16,0.0001,0.4,1,2,16,128,relu
0.8805451450127377,200,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 16, 'lr': 0.01, 'filter_size': 4, 'dropout': 0.1, 'depth': 2, 'batch_size': 32, 'activation': 'relu'}_seed=0.pth.tar",32,0.01,0.1,2,4,16,128,relu
0.871405300803449,100,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 64, 'n_filters': 128, 'lr': 0.001, 'filter_size': 2, 'dropout': 0.8, 'depth': 2, 'batch_size': 128, 'activation': 'elu'}_seed=0.pth.tar",128,0.001,0.8,2,2,128,64,elu
0.8768983931020968,600,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 32, 'lr': 0.001, 'filter_size': 4, 'dropout': 0.8, 'depth': 1, 'batch_size': 16, 'activation': 'elu'}_seed=0.pth.tar",16,0.001,0.8,1,4,32,128,elu
0.8791397217323142,200,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 16, 'n_filters': 16, 'lr': 0.001, 'filter_size': 4, 'dropout': 0.4, 'depth': 2, 'batch_size': 128, 'activation': 'relu'}_seed=0.pth.tar",128,0.001,0.4,2,4,16,16,relu
0.8795255242014502,400,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 32, 'n_filters': 64, 'lr': 0.001, 'filter_size': 2, 'dropout': 0.2, 'depth': 2, 'batch_size': 32, 'activation': 'relu'}_seed=0.pth.tar",32,0.001,0.2,2,2,64,32,relu
0.8640413727219283,700,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 32, 'n_filters': 64, 'lr': 0.01, 'filter_size': 2, 'dropout': 0.8, 'depth': 1, 'batch_size': 32, 'activation': 'relu'}_seed=0.pth.tar",32,0.01,0.8,1,2,64,32,relu
0.8763839898099158,200,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 128, 'lr': 0.001, 'filter_size': 3, 'dropout': 0.8, 'depth': 1, 'batch_size': 64, 'activation': 'relu'}_seed=0.pth.tar",64,0.001,0.8,1,3,128,128,relu
0.8750673623358808,300,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 16, 'n_filters': 16, 'lr': 0.01, 'filter_size': 3, 'dropout': 0.0, 'depth': 2, 'batch_size': 16, 'activation': 'elu'}_seed=0.pth.tar",16,0.01,0.0,2,3,16,16,elu
